Data;Alaska;BTG;Exploritas;Real Investor;Opportunity
12/12/2019;2,5722153;1,0998415;1,250705;13,79020275;1,261383
11/12/2019;2,5500359;1,0996319;1,2339538;13,6995286;1,257622
10/12/2019;2,5067631;1,0994252;1,2264576;13,52775681;1,2559391
09/12/2019;2,4906528;1,0992168;1,2202257;13,53462321;1,2564872
06/12/2019;2,5009449;1,0990087;1,2035857;13,46222004;1,2570572
05/12/2019;2,4754974;1,0988006;1,1861653;13,28068634;1,2532633
04/12/2019;2,4663792;1,0985926;1,1791417;13,25154224;1,2527935
03/12/2019;2,4609734;1,0983847;1,1647646;13,10257378;1,2487115
02/12/2019;2,4588177;1,0981764;1,1607577;13,02417544;1,2463033
29/11/2019;2,4395025;1,0979684;1,1553046;12,97974231;1,2455371
28/11/2019;2,4388378;1,0977606;1,1547908;12,91954058;1,2467554
27/11/2019;2,4355591;1,0975524;1,1494941;12,82422099;1,244126
26/11/2019;2,4049481;1,0973448;1,1512566;12,80482665;1,2435903
25/11/2019;2,4362053;1,0971367;1,1646688;12,79195948;1,2474971
22/11/2019;2,4652771;1,0969289;1,1612499;12,78044092;1,248674
21/11/2019;2,4454862;1,0967202;1,1647275;12,62885578;1,2453553
20/11/2019;2,4145107;1,0965122;1,1504054;12,51250877;1,2441612
19/11/2019;2,4146635;1,0963042;1,1504054;12,51732003;1,2446286
18/11/2019;2,424055;1,0960958;1,1481225;12,54694375;1,2457192
14/11/2019;2,4202767;1,0958881;1,1455636;12,53843303;1,2469796
13/11/2019;2,4026926;1,0956807;1,1488338;12,42691687;1,2459482
12/11/2019;2,4133821;1,0954726;1,1607296;12,48268706;1,2476621
11/11/2019;2,4530652;1,0952651;1,1670877;12,58485606;1,2524071
08/11/2019;2,4352423;1,0950574;1,1725487;12,57325345;1,2496823
07/11/2019;2,4672901;1,0948498;1,1967492;12,67328902;1,2527753
06/11/2019;2,4205193;1,0946424;1,1988756;12,59847846;1,2522448
05/11/2019;2,4148569;1,0944348;1,2105255;12,54841708;1,2556557
04/11/2019;2,4177027;1,0942273;1,2050505;12,6451126;1,2556116
01/11/2019;2,4077002;1,094039;1,204768;12,52100162;1,256641
31/10/2019;2,3498888;1,0938125;1,2026022;12,35272243;1,2534086
30/10/2019;2,3443213;1,0935845;1,1975479;12,38350285;1,2568177
29/10/2019;2,300485;1,0933563;1,2024381;12,33538572;1,2531389
28/10/2019;2,3335;1,0931287;1,201631;12,31667257;1,2535449
25/10/2019;2,3212007;1,0929005;1,199638;12,20693286;1,250718
24/10/2019;2,3329569;1,0926724;1,1957655;12,21869582;1,2478406
23/10/2019;2,372011;1,0924447;1,1967769;12,29940141;1,2486016
22/10/2019;2,3811662;1,0922168;1,195265;12,31447917;1,2444822
21/10/2019;2,3598625;1,0919893;1,1871345;12,28378665;1,2421797
18/10/2019;2,3407173;1,0917616;1,1868804;12,16129289;1,2406509
17/10/2019;2,3539921;1,0915331;1,1901978;12,18011806;1,2392854
16/10/2019;2,3545967;1,0913053;1,1882467;12,14786152;1,2392854
15/10/2019;2,3462206;1,091076;1,1919593;12,14512154;1,2358034
14/10/2019;2,3569622;1,090849;1,1952585;12,19936682;1,2379486
11/10/2019;2,3359553;1,0906215;1,1936965;12,17761566;1,2371452
10/10/2019;2,2724461;1,0903943;1,1725259;11,95271944;1,2314978
09/10/2019;2,272741;1,0901674;1,1685635;11,8936722;1,2295804
08/10/2019;2,2355852;1,0899399;1,160597;11,8053693;1,2255658
07/10/2019;2,2668273;1,0897129;1,1635996;11,86129925;1,2265332
04/10/2019;2,3094797;1,0894858;1,1636642;12,04622532;1,232488
03/10/2019;2,2783721;1,0892588;1,162108;11,91266175;1,2286788
02/10/2019;2,2639032;1,0890319;1,151452;11,84178669;1,2244405
01/10/2019;2,3233963;1,088805;1,153227;12,07889288;1,2279326
30/09/2019;2,3330582;1,0885781;1,1526317;12,14927306;1,2299923
27/09/2019;2,3225908;1,0883501;1,1543121;12,06824506;1,2292312
26/09/2019;2,3128005;1,0881228;1,1515223;12,08029353;1,2291337
25/09/2019;2,3124243;1,0878954;1,1492821;12,07553131;1,2271769
