"","Original","Ajustado"
"2012-03-01",7.9,7.28706395380127
"2012-04-01",7.7,7.20731738372522
"2012-05-01",7.6,7.28345227485204
"2012-06-01",7.5,7.35418557539866
"2012-07-01",7.4,7.29386572434642
"2012-08-01",7.3,7.28498552599218
"2012-09-01",7.1,7.24597258281481
"2012-10-01",6.9,7.24564864417097
"2012-11-01",6.8,7.28902458624146
"2012-12-01",6.9,7.49542284137419
"2013-01-01",7.2,7.46962725553177
"2013-02-01",7.7,7.54343364485553
"2013-03-01",8,7.38706395380127
"2013-04-01",7.8,7.30731738372522
"2013-05-01",7.6,7.28345227485204
"2013-06-01",7.4,7.25418557539866
"2013-07-01",7.3,7.19386572434642
"2013-08-01",7.1,7.08498552599218
"2013-09-01",6.9,7.04597258281481
"2013-10-01",6.7,7.04564864417097
"2013-11-01",6.5,6.98902458624146
"2013-12-01",6.2,6.79542284137419
"2014-01-01",6.4,6.66962725553177
"2014-02-01",6.7,6.54343364485553
"2014-03-01",7.2,6.58706395380127
"2014-04-01",7.1,6.60731738372522
"2014-05-01",7,6.68345227485204
"2014-06-01",6.8,6.65418557539866
"2014-07-01",6.9,6.79386572434642
"2014-08-01",6.9,6.88498552599218
"2014-09-01",6.8,6.94597258281481
"2014-10-01",6.6,6.94564864417097
"2014-11-01",6.5,6.98902458624146
"2014-12-01",6.5,7.09542284137419
"2015-01-01",6.8,7.06962725553177
"2015-02-01",7.4,7.24343364485553
"2015-03-01",7.9,7.28706395380127
"2015-04-01",8,7.50731738372522
"2015-05-01",8.1,7.78345227485204
"2015-06-01",8.3,8.15418557539866
"2015-07-01",8.5,8.39386572434642
"2015-08-01",8.7,8.68498552599218
"2015-09-01",8.9,9.04597258281481
"2015-10-01",8.9,9.24564864417097
"2015-11-01",9,9.48902458624146
"2015-12-01",8.9,9.49542284137419
"2016-01-01",9.5,9.76962725553177
"2016-02-01",10.2,10.0434336448555
"2016-03-01",10.9,10.2870639538013
"2016-04-01",11.2,10.7073173837252
"2016-05-01",11.2,10.883452274852
"2016-06-01",11.3,11.1541855753987
"2016-07-01",11.6,11.4938657243464
"2016-08-01",11.8,11.7849855259922
"2016-09-01",11.8,11.9459725828148
"2016-10-01",11.8,12.145648644171
"2016-11-01",11.8,12.2890245862415
"2016-12-01",12,12.5954228413742
"2017-01-01",12.6,12.8696272555318
"2017-02-01",13.2,13.0434336448555
"2017-03-01",13.7,13.0870639538013
"2017-04-01",13.6,13.1073173837252
"2017-05-01",13.3,12.983452274852
"2017-06-01",13,12.8541855753987
"2017-07-01",12.8,12.6938657243464
"2017-08-01",12.6,12.5849855259922
"2017-09-01",12.4,12.5459725828148
"2017-10-01",12.2,12.545648644171
"2017-11-01",12,12.4890245862415
"2017-12-01",11.8,12.3954228413742
"2018-01-01",12.2,12.4696272555318
"2018-02-01",12.6,12.4434336448555
"2018-03-01",13.1,12.4870639538013
"2018-04-01",12.9,12.4073173837252
"2018-05-01",12.7,12.383452274852
"2018-06-01",12.4,12.2541855753987
"2018-07-01",12.3,12.1938657243464
"2018-08-01",12.1,12.0849855259922
"2018-09-01",11.9,12.0459725828148
"2018-10-01",11.7,12.045648644171
"2018-11-01",11.6,12.0890245862415
"2018-12-01",11.6,12.1954228413742
"2019-01-01",12,12.2696272555318
"2019-02-01",12.4,12.2434336448555
"2019-03-01",12.7,12.0870639538013
"2019-04-01",12.5,12.0073173837252
"2019-05-01",12.3,11.983452274852
"2019-06-01",12,11.8541855753987
"2019-07-01",11.8,11.6938657243464
